programa,total_2018_2024,modelo,mape_pct,confianza,pred_2025,pred_2026,pred_2027,ic_inf_2027,ic_sup_2027,mape_Lineal,mape_Polinómico,mape_SES,mape_Holt
ESPECIALIZACION EN SEGURIDAD SOCIAL,81,SES,48.0,BAJA,13,13,13,0,70,58.1,546.0,48.0,55.1
QUIMICA AMBIENTAL,81,Polinómico,19.2,MEDIA,14,20,29,17,41,97.1,19.2,25.4,97.1
ESPECIALIZACION EN REHABILITACION ORAL,81,SES,21.1,MEDIA,12,12,12,0,25,21.5,33.3,21.1,21.5
LICENCIATURA EN EDUCACION BASICA CON ENFASIS EN MATEMATICAS,81,Polinómico,166.7,BAJA,0,0,0,0,17,275.0,166.7,392.2,275.0
MAESTRIA EN TELECOMUNICACIONES Y REGULACION TIC,73,SES,77.3,BAJA,10,10,10,0,38,90.9,269.6,77.3,90.9
ESPECIALIZACION EN PERIODONCIA,72,SES,29.0,MEDIA,10,10,10,0,38,51.0,116.9,29.0,51.0
MAESTRIA EN DERECHO PENAL Y PROCESAL PENAL,71,Polinómico,45.1,BAJA,0,0,0,0,24,82.7,45.1,94.3,82.7
MAESTRIA EN CIENCIAS Y TECNOLOGIAS AMBIENTALES,67,SES,56.5,BAJA,10,10,10,0,38,78.1,137.3,56.5,109.6
ESPECIALIZACION EN GERENCIA DE EMPRESAS AGROPECUARIAS,65,Lineal,104.7,BAJA,7,7,6,0,31,104.7,111.3,107.9,177.3
ESPECIALIZACION EN DERECHO DE LAS RELACIONES LABORALES,65,Lineal,108.6,BAJA,5,4,3,0,27,108.6,266.2,218.2,108.6
"MAESTRIA EN COMUNICACION,DESARROLLO Y CAMBIO SOCIAL",65,Holt,52.5,BAJA,1,0,0,0,27,52.5,144.2,257.5,52.5
ZOOTECNIA,64,SES,12.3,ALTA,9,9,9,0,19,16.1,57.9,12.3,16.1
LICENCIATURA EN LITERATURA Y LENGUA CASTELLANA,62,Lineal,82.4,BAJA,20,23,25,0,53,82.4,144.9,97.0,166.9
MAESTRIA EN CIENCIAS ECONOMICAS,56,Lineal,34.4,BAJA,0,0,0,0,13,34.4,231.7,92.9,34.4
MAESTRIA EN DERECHO PRIVADO,55,Polinómico,106.5,BAJA,0,0,0,0,16,287.3,106.5,216.8,287.3
MAESTRIA EN ESTADISTICA APLICADA,52,Lineal,10.5,ALTA,15,16,18,13,24,10.5,25.5,16.5,10.5
